Bundesland,Ladenname,Name Besitzer,Ort,Besonderes,Webseite,OnlineShop,FaceBook,Instagram
Nordrhein-Westfalen,BÜGGEL-bergisch unverpackt,Stefanie Marx-Bleikertz und Team,"Paffrather Straße 5, 51465 Bergisch Gladbach","Es werden Workshops und Vorträge zum Thema Zero Waste, nachhaltiges Leben und DIY-Themen angeboten. Die Produkte sind in Bioqualität oder regional, Bio-Fleisch kann bestellt werden. Körner werden frisch gemahlen oder geschrotet. Eine kleine Café-Ecke lädt außerdem zum Verweilen ein.",['www.bueggel-unverpackt.de'],,,
Nordrhein-Westfalen,Mit Liebe unverpackt,Sandra Buretschek,"Brüderstraße 49-51, Soest","Erster unverpackt Laden in Soest. Ausgewählte Produkte in hoher Qualität, ressourcenschonend hergestellt und möglichst regional.",['mit-liebe-unverpackt.de'],,,
Nordrhein-Westfalen,UnVerlpackt,Tatjana Bergen-Dobrzykowski,"Thaddäusstraße 66, Verl",Verpackungsfrei einkaufen von Nudeln bis Duschgel zum selbst Abfüllen.,['www.unverlpackt.com'],,,
Nordrhein-Westfalen,Theo Tütenlos,Katharina und Lara Griewel,"Hammer Straße 49, Werl",Umfangreiches Sortiment und Sonderaktionen wie z.B. Kleidertausch oder Umverteilung von Ernteüberschüssen aus dem eigenen Garten.,['www.theo-tuetenlos.de'],,,
Nordrhein-Westfalen,Unverpackt Düsseldorf,"Björn Amend, Eva Wenndorf","Rethelstraße 111, Düsseldorf",Das Angebot enthält etwa 700 Artikel. Davon sind über 97% aus biologischer Herkunft. Vorbestellung mit Abholung im Laden oder per Lieferdienst direkt nach Hause.,['www.unverpacktduesseldorf.de'],,,
Nordrhein-Westfalen,Pure Note,Nubia Osorio Torres,"Brunnenstr. 30, Düsseldorf","Unverpackte Bio-Produkte, Regionales Bio-Obst und Gemüse, eine große Auswahl an Zero Waste Produkten und warme Küche von Montag bis Samstag.",['www.purenote.de'],,,
Nordrhein-Westfalen,kostBAR – unverpackt,Sabrina Dankelmann,"Katharinenstr. 3, Gescher",Der erste Laden in Gescher für verpackungsfreie Lebens- und Gebrauchsmittel inklusive Kafee-Ecke.,['www.kostbar-unverpackt.de'],,,
Nordrhein-Westfalen,Im Körbchen – Unverpackt-Laden Erftstadt,Lisa Korb,"Heidebroichstraße 15, Erftstadt",Erster Unverpackt-Laden in Erftstadt mit kleinem Café.,['www.erftstadt-unverpackt.de'],,,
Nordrhein-Westfalen,Fräulein Unverpackt,Jennifer Giesen,"Kerpener Str. 78, Kerpen",Eröffnet mitten in der Corona-Krise ist Fräulein Unverpackt schon jetzt feste Anlaufstelle für viele Kunden aus der Region.,['www.fraeulein-unverpackt.de'],,,
Nordrhein-Westfalen,Binger ganz unverpackt,Nicole Binger,"Peterstr. 16, Willich","Hier gibt es nicht nur unverpackte Trockenwaren, sondern auch lokales Bio-Gemüse und Bio-Milch aus dem Ort.",['www.binger-ganz-unverpackt.de'],,,
Hessen,Unverpackt Darmstadt,Bettina Will,"Gutenbergstraße 5B, Darmstadt","Ein Drogeriemarkt. Über die klassischen unverpackten Lebensmittel hinaus werden hier auch ein breites Sortiment an Hygiene, Haarpflege und Reinigungsprodukten angeboten.",['www.unverpacktdarmstadt.com'],,,
Hessen,Gramm.genau,"Christine, Franzi, Tamás und Jenny","Adalbertstraße 11, Frankfurt am Main",In Kooperation mit MainGemüse werden über 50 Produkte angeboten. Darüber hinaus gibt es leckeres Mittagessen. Im regionalen Online-Shop kann man sich seine Bestellung bequem und nachhaltig per Lastenrad nach Hause oder an eine Abholstation in der Nähe liefern lassen.,['www.grammgenau.de'],shop.grammgenau.de,,
Hessen,Die Auffüllerei,Christina Schwab und Marlen Richter,"Höhenstraße 40, Frankfurt am Main","Der größte Unverpackt Laden in Frankfurt. Wein und Milchprodukte wie Butter, Joghurt und Käse werden im Pfandglas angeboten.",['www.dieauffuellerei.de'],,,
Hessen,Unverpacktes Gießen,Louisa Willner & Jonas Hey,"Johanette-Lein-Gasse 24, Gießen","Erster Unverpackt Laden in Mittelhessen. Neben dem reichhaltigen Sortiment aus den Spendern kann man Artikel erwerben, die das plastikfreie Leben erleichtern – zum Beispiel Trinkflaschen, Edelstahl-Brotboxen oder Hygieneartikel.",['www.unverpacktes-giessen.de'],,,
Hessen,Unverpackt Lorsch,Sabrina,"Bahnhofstraße 14, Lorsch","Mit nicht einmal 13.000 Einwohnern ist Lorsch eine der kleinsten Städte dieser Liste. Wir freuen uns, dass das Konzept „plastikfreies Einkaufen“ nicht nur etwas für Großstädter ist, sondern wirklich alle!",['www.unverpackt-lorsch.de'],,,
Hessen,Wer Bettina und Wolfgang Meudt,,"Dotzheimer Straße 19, Wiesbaden","Bistro mit wechselnden Mittagsgerichten, die obendrein auch in Mehrwegbehältern mitgenommen werden können. Alles ist Bio!",['www.bio-unverpackt.com'],,,
Hessen,HONIGHALLE,,,,,,,
Hessen,,Julius Schießer/Imkerei Schiesser,"Köpperner Str. 84, Friedrichsdorf",Neben unverpackten Grundnahrungsmitteln gibt es hier vor allem Honig aus der eigenen Imkerei. Für jedes zurückgebrachte Glas werden 6 Cent für die Kultivierung von bienenfreundlichen Wiesen gespendet.,['www.imkerei-schiesser.de'],,,
Hessen,Nachfüllbar,"Franziska Werner, Samira Waldeck","Wilhelmshöher Allee 178,Kassel","Neben Grundnahrungsmitteln werden Produkte für einen plastikfreien Alltag angeboten, wie z.B. Waschmittel und Reiniger zum Nachfüllen, Hautpflege, Glasstrohhalme und Hygieneprodukte. Außerdem kann Getreide oder Kaffee aus der lokalen Rösterei selbst frisch geschrotet oder gemahlen werden. Eine Nuss-Mus-Maschine für frisch gezapftes Mus ist auch im Laden vorhanden.",['www.nachfuellbarkassel.de/'],,,
Hessen,Emmas Unverpacktladen,"Dorothea Hoch, Elisabeth Rammler und Doris Bauer","Luckenberg 1, Fulda","Auf das Wesentliche reduziert, unverpackte Bioprodukte in hoher Qualität.",www.unverpackt-fulda.de/,,,
Hessen,"Körperpflege- und Reinigungsprodukte ohne Silikone, Parabene und Mikroplastik.",Andrea Kersten und Sonja Kirchner-Rohr,"Austrasse 7a, Niedernhausen",Viele Lebensmittel und Dinge des täglichen Bedarfs lose und ohne unnötige Verpackung.,['www.kikes-unverpackt.de/'],,,
Hessen,Die erste Filiale „Ulf am Dom“,Claudia Nauth & Team,"Saalgasse 1, Frankfurt","Unsere Lebensmittel sind biozertifiziert und werden, so weit es möglich ist, von regionalen Herstellern und Herstellerinnen bezogen. Weiterhin gibt es diverse nachhaltige Alltagshelfer und Hygieneprodukte.",['www.unverpackt-laden-frankfurt.de/'],,,
